All sizes stock distribution through 2020
Year	2A	2B	2C	3A	3B	4A	4B	4CDE	Total	Region 2	Region 3	Region 4	Region 4B
1993	1.4%	6.4%	7.0%	36.0%	26.4%	6.7%	9.8%	6.3%	100.0%	14.8%	62.4%	13.1%	9.8%
1994	1.3%	7.7%	7.9%	32.5%	26.5%	7.4%	9.6%	7.0%	100.0%	17.0%	59.0%	14.4%	9.6%
1995	1.2%	8.8%	8.5%	32.6%	26.5%	7.6%	8.9%	6.0%	100.0%	18.5%	59.1%	13.5%	8.9%
1996	1.2%	7.3%	7.9%	31.1%	29.1%	8.9%	8.7%	5.8%	100.0%	16.4%	60.2%	14.8%	8.7%
1997	1.2%	5.5%	7.8%	34.1%	26.0%	11.3%	8.4%	5.6%	100.0%	14.6%	60.2%	16.9%	8.4%
1998	1.3%	4.8%	6.8%	27.6%	31.5%	13.7%	8.0%	6.3%	100.0%	12.9%	59.1%	19.9%	8.0%
1999	1.4%	4.3%	5.9%	26.5%	35.5%	13.1%	7.0%	6.4%	100.0%	11.5%	61.9%	19.6%	7.0%
2000	1.3%	4.9%	6.3%	32.0%	29.9%	12.6%	6.3%	6.8%	100.0%	12.4%	61.9%	19.3%	6.3%
2001	1.3%	6.2%	7.7%	34.0%	26.7%	11.7%	5.1%	7.4%	100.0%	15.2%	60.6%	19.1%	5.1%
2002	1.0%	6.2%	8.4%	39.9%	22.9%	10.6%	3.8%	7.1%	100.0%	15.6%	62.8%	17.7%	3.8%
2003	1.1%	5.0%	7.6%	37.3%	27.4%	10.1%	3.4%	8.1%	100.0%	13.7%	64.6%	18.2%	3.4%
2004	1.1%	4.7%	5.6%	43.5%	24.4%	9.3%	3.1%	8.1%	100.0%	11.5%	68.0%	17.4%	3.1%
2005	1.3%	5.6%	6.8%	43.8%	20.2%	9.6%	3.2%	9.5%	100.0%	13.7%	63.9%	19.1%	3.2%
2006	1.1%	5.7%	6.9%	40.2%	22.1%	8.6%	4.0%	11.6%	100.0%	13.6%	62.2%	20.2%	4.0%
2007	1.0%	6.3%	7.0%	38.9%	22.7%	8.4%	4.9%	10.9%	100.0%	14.2%	61.6%	19.3%	4.9%
2008	1.1%	7.0%	7.1%	35.9%	21.5%	10.4%	5.3%	11.7%	100.0%	15.2%	57.4%	22.1%	5.3%
2009	0.9%	8.5%	7.0%	33.8%	21.9%	10.4%	4.7%	12.7%	100.0%	16.4%	55.8%	23.2%	4.7%
2010	1.2%	8.9%	7.4%	35.0%	20.2%	9.4%	4.2%	13.6%	100.0%	17.5%	55.3%	23.0%	4.2%
2011	1.5%	8.8%	8.6%	36.1%	18.5%	8.8%	4.4%	13.2%	100.0%	18.8%	54.7%	22.0%	4.4%
2012	1.4%	9.7%	10.0%	38.0%	16.9%	8.1%	3.5%	12.4%	100.0%	21.0%	54.9%	20.5%	3.5%
2013	1.5%	11.2%	11.5%	33.0%	16.1%	7.7%	4.9%	14.0%	100.0%	24.2%	49.2%	21.7%	4.9%
2014	1.5%	10.5%	11.3%	36.4%	15.5%	7.4%	4.0%	13.5%	100.0%	23.3%	51.9%	20.9%	4.0%
2015	1.9%	11.2%	11.2%	35.3%	15.5%	7.4%	4.0%	13.4%	100.0%	24.4%	50.9%	20.8%	4.0%
2016	1.6%	11.0%	11.8%	35.4%	16.5%	6.6%	4.1%	13.0%	100.0%	24.4%	51.9%	19.6%	4.1%
2017	1.4%	9.4%	13.8%	36.2%	12.4%	8.3%	4.5%	13.9%	100.0%	24.7%	48.6%	22.3%	4.5%
2018	1.4%	10.7%	12.1%	35.4%	12.5%	7.9%	5.2%	14.8%	100.0%	24.2%	47.9%	22.8%	5.2%
2019	1.7%	10.9%	12.5%	30.6%	15.8%	9.0%	4.7%	14.8%	100.0%	25.0%	46.4%	23.9%	4.7%
2020	1.8%	9.9%	11.5%	35.6%	12.9%	8.6%	4.7%	15.0%	100.0%	23.1%	48.5%	23.6%	4.7%

