"","Estimate","Interval"
"Unfished Spawning Biomass (mt)","2,047,850","1,272,296–2,823,404"
"Unfished Age 2+ Biomass (mt)","4,673,240","2,889,949–6,456,531"
"Unfished Recruitment (R0)","2,173,730","1,007,105–3,340,355"
"Spawning Biomass (mt) (2022)","857,143","331,167–1,383,119"
"Fraction Unfished (2022)","0.42","0.15–0.69"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (mt) SB40%","819,142","508,921–1,129,363"
"SPR Resulting in SB40%","0.424","0.385–0.462"
"Exploitation Rate Resulting in SB40%","0.153","0.125–0.180"
"Yield with SPR Based On SB40% (mt)","311,247","171,815–450,679"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR40)","768,753","474,286–1,063,220"
"SPR40","0.400"," - "
"Exploitation Rate Corresponding to SPR40","0.165","0.143–0.187"
"Yield with SPR40 at SB SPR (mt)","318,338","177,128–459,548"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","485,913","226,551–745,275"
"SPR MSY","0.267","0.140–0.394"
"Exploitation Rate Corresponding to SPR MSY","0.259","0.135–0.384"
"MSY (mt)","339,846","178,794–500,898"
