"Year","FshTrawl (mt)","FshLL (mt)","FshPot (mt)","Total Catch (mt)"
1977,653,1615,0,2268
1978,3263,8927,0,12190
1979,3790,11114,0,14904
1980,9851,25494,0,35345
1981,10485,25646,0,36131
1982,6680,22785,0,29465
1983,9512,27028,0,36540
1984,8806,15092,0,23898
1985,4876,9552,0,14428
1986,6851,18161,0,25012
1987,22487,9809,643,32939
1988,27145,5236,1421,33802
1989,37638,5280,375,43293
1990,59190,7666,5661,72517
1991,58101.5,7734.9,10464.1,76300.5
1992,54762.2,15830.5,10154.4,80747.1
1993,37809.5,8970.38,9707.62,56487.5
1994,31446.7,6877.4,9160.54,47484.64
1995,41875,11055.3,16054.9,68985.2
1996,45990.5,10249.3,12040.1,68279.9
1997,48405.9,12331.2,16433.2,77170.3
1998,41569.6,11361.3,19693.8,72624.7
1999,37174.7,13943.3,31424.6,82542.6
2000,25456.9,13344.3,27750.2,66551.4
2001,24386.2,12144.6,14999.6,51530.4
2002,19810.2,16556,18271.2,54637.4
2003,18885.5,12988,20708,52581.5
2004,17512.6,13542.7,25568.3,56623.6
2005,14549.2,8633.55,24401.6,47584.35
2006,13131.8,11079,23686.3,47897.1
2007,14775.4,12535.2,24950.3,52260.9
2008,20293.4,14053.4,24667.2,59014
2009,13976.2,17350.2,21869.9,53196.3
2010,22035.2,21837.8,34720,78593
2011,16456.3,23002.9,45907.5,85366.7
2012,20084.1,20668.4,37177.9,77930.4
2013,21706,15703.4,31166.5,68575.9
2014,26916.7,19626,38402.4,84945.1
2015,22268.1,16840.3,40372.1,79480.5
2016,15217.4,10979.4,37857.7,64054.5
2017,13041.1,9249.33,26436.5,48726.93
2018,3817.98,3659.52,7672.92,15150.42
2019,4534.53,3628.42,7552.92,15715.87
2020,3427.12,1605.95,1809.34,6842.41
2021,5986.4,5529.59,7657.11,19173.1
2022,8207.08,7144.77,10570,25921.85
2023,6473.35,7529.61,7722.62,21725.58
2024,6399.05,7090.74,9681,23170.79
