"","obs","pred"
"1",800,823.699
"2",3250,3301.96
"3",6815,6982.74
"4",12170,12844.1
"5",17430,19251.6
"6",10040,10540.9
"7",6000,6140.21
"8",5010,5096.25
"9",3630,3665.56
"10",2245,2258.91
"11",3875,3910.23
"12",3880,3913.53
"13",2820,2834.9
"14",2550,2561.47
"15",2520,2529.45
"16",2275,2281.97
"17",622,633.716
"18",554,555.283
"19",670,671.478
"20",810,811.625
"21",1477,1478.43
"22",3920,3916.68
"23",3618,3615.44
"24",1002,1003.99
"25",185,186.043
"26",248,249.295
"27",483,484.905
"28",1107,1109.43
"29",1527,1529.27
"30",1716,1717.42
"31",4528,4515.75
"32",7770,7730.91
"33",4820.3,4802.59
"34",5966.19,5937.55
"35",5635.4,5610.16
"36",3340.31,3334.4
"37",2935.01,2931.26
"38",3055.45,3050.84
"39",5408.89,5378.14
"40",3333.47,3324.24
"41",3132.77,3127.08
"42",3339.25,3331.77
"43",5256.07,5228.59
"44",4810.79,4789.89
"45",4521.67,4508.56
"46",4957.71,4942.18
"47",4186.65,4179.27
"48",4052.09,4045.81
"49",3951.65,3944.81
"50",3902.36,3895.32
"51",3443.93,3439.61
"52",5077.01,5061.94
"53",4879.28,4872.3
"54",4278.23,4273.15
"55",3944.55,3938.61
"56",3433.99,3429.83
"57",1835.1,1836.76
"58",2358.79,2359.35
"59",2748.16,2748.47
"60",2384.92,2385.65
"61",2376.49,2376.76
"62",1875.74,1876.69
